max_vision,alpha,seed,final_gini,final_mean_sugar,ks_entropy,social_mobility_index
1,0.25,1000,0.4364753669520481,24.80256,0.13108540689626225,0.23092555080881288
1,0.25,1001,0.4374086356062525,24.903139999999993,0.12258328625737254,0.29223750780012475
1,0.25,1002,0.4365973476533236,24.906,0.10983782426179592,0.13940152642442277
1,0.25,1003,0.43908897310383366,25.067279999999997,0.12545981283677235,0.16662064993039885
1,0.25,1004,0.4512418735189598,23.899059999999995,0.1111528363623308,0.2177848605577689
1,0.5,1000,0.4895728778132968,36.149840000000005,0.07963006582204686,0.21046723947583157
1,0.5,1001,0.48221669750929874,34.20484,0.09863638862057746,0.24893236691787066
1,0.5,1002,0.4728670777274948,37.37332000000001,0.09952666566954653,0.30777670042720684
1,0.5,1003,0.5038457986945569,34.42932,0.08540365960153297,0.1820707531320501
1,0.5,1004,0.4695801934435526,37.814960000000006,0.08389569185612782,0.2796390342245476
1,1.0,1000,0.49795509327666415,42.205119999999994,0.08762664803592686,0.16789555032880524
1,1.0,1001,0.51966114154696,41.8512,0.07995149758928624,0.2707270196323141
1,1.0,1002,0.5210556234044337,45.14736,0.1149385595479068,0.05793769500312005
1,1.0,1003,0.522290914213546,46.415839999999996,0.07599786877195211,0.2870534248547976
1,1.0,1004,0.5114403144624671,43.48424,0.1090187376627953,0.18686545384726155
1,2.0,1000,0.538875327328796,45.311840000000004,0.07158881972787125,0.18686314981039695
1,2.0,1001,0.5386350498150285,48.47959999999999,0.07642606720334788,0.07677319637114194
1,2.0,1002,0.534321985299787,43.71504,0.07077605756810215,0.03440503048048769
1,2.0,1003,0.5380289765720127,47.90567999999999,0.07195040070727253,0.02571266740267844
1,2.0,1004,0.5429464974299176,49.34615999999999,0.09312521717189406,0.14364402630442086
1,4.0,1000,0.5149408490436431,40.006,0.09842236225687499,0.12018585897374356
1,4.0,1001,0.5081259780598337,40.180800000000005,0.09063598236643981,0.16249719195507126
1,4.0,1002,0.527878734335372,47.982240000000004,0.07362771857060423,0.09276167618681899
1,4.0,1003,0.5469681783083781,43.20760000000001,0.08966398424487998,0.10150933614937838
1,4.0,1004,0.5297315172281597,44.26240000000001,0.07305433536334954,0.18564277828445253
2,0.25,1000,0.42616375732118866,24.85262,0.06189198732850568,0.3220540488647818
2,0.25,1001,0.43950611522842903,24.515839999999997,0.10595328390280628,0.1405097681562905
2,0.25,1002,0.455103527017166,22.92328,0.07390560445091642,0.2236194499111986
2,0.25,1003,0.42925365244007063,25.583119999999997,0.09103520181201405,0.3197000912014592
2,0.25,1004,0.43982694864696775,25.804080000000003,0.10717317276235024,0.2661773148370374
2,0.5,1000,0.4601029300525278,37.54036,0.11655898108558703,0.2800007680122882
2,0.5,1001,0.47392647950315075,36.54924,0.10416219316571751,0.24406393702299234
2,0.5,1002,0.4833776418663877,35.94172,0.0779615414697118,0.24184361349781594
2,0.5,1003,0.46447068537031144,37.68068,0.10164124292419016,0.2569396630346085
2,0.5,1004,0.45851662574716207,39.36152,0.10216130042763293,0.347988287812605
2,1.0,1000,0.5179903382051285,48.22072,0.08568873481946279,0.2490590889454231
2,1.0,1001,0.5125685773993061,45.624080000000006,0.07444045212486658,0.09902097633562136
2,1.0,1002,0.5245217155014797,43.17152,0.09028061067062465,0.14701176018816298
2,1.0,1003,0.509738776625727,48.190960000000004,0.07897610078543017,0.19937560600969612
2,1.0,1004,0.5127595971795137,46.52424,0.10795906782527176,0.23812720203523255
2,2.0,1000,0.5442740407200286,44.130559999999996,0.08307001921521398,0.12377247635962176
2,2.0,1001,0.5458527410462983,45.19208,0.09316524256400807,0.17729602073633177
2,2.0,1002,0.5254144518119633,46.61912000000001,0.08661810881036647,0.18980694091105454
2,2.0,1003,0.5508874137452051,42.85856,0.08395359087198899,0.2146459943359094
2,2.0,1004,0.5253377943852473,45.666799999999995,0.09380642012245868,0.20540527048432772
2,4.0,1000,0.5392944572735704,48.03712,0.09132405213757634,0.2413152210435367
2,4.0,1001,0.5446279745394115,44.4388,0.09121600827166156,0.018863533816541062
2,4.0,1002,0.5352430548591314,42.705600000000004,0.09388669201947102,0.15649056784908558
2,4.0,1003,0.5427315577493296,41.0992,0.07598034222506662,0.27685882974127585
2,4.0,1004,0.5203019616424569,47.36208,0.0792302185103909,0.15649901598425572
3,0.25,1000,0.4423780658224071,24.578400000000002,0.06678006328716334,0.2575225843613498
3,0.25,1001,0.4356769661197514,23.9502,0.0951722899780773,0.3410684970959535
3,0.25,1002,0.4575161070507944,24.06214,0.08412601265290721,0.27193203091249457
3,0.25,1003,0.43065985666350526,25.280319999999996,0.1066251901727424,0.3353130130082081
3,0.25,1004,0.4463447446606791,24.517139999999994,0.07892843371025293,0.2257568281092497
3,0.5,1000,0.4682199368407114,37.287040000000005,0.1298372620843806,0.17805097681562904
3,0.5,1001,0.4763685764663003,38.03,0.10509166231570403,0.2313648538376614
3,0.5,1002,0.45870976725635626,37.38684,0.10817389186232856,0.31327259636154176
3,0.5,1003,0.47266132915746334,39.17288,0.07790960106266057,0.22617078673258767
3,0.5,1004,0.4464512761813593,39.68508,0.07059632158258555,0.36826765228243646
3,1.0,1000,0.5124959097344098,46.62200000000001,0.08154269880849561,0.14745720731531703
3,1.0,1001,0.5035533399525918,43.37672,0.09078037448402877,0.1876895310324965
3,1.0,1002,0.5115581660432817,40.71392,0.08446423293141386,0.0740851533624538
3,1.0,1003,0.49325876372027777,47.13255999999999,0.08597524989736784,0.19918667498679973
3,1.0,1004,0.5043295983556707,47.77456,0.09711128668514955,0.2149324629194067
3,2.0,1000,0.5290083802919111,49.08120000000001,0.1068964584633687,0.1443175730811693
3,2.0,1001,0.5315330650670081,45.728559999999995,0.09518748794477573,0.11059952959247346
3,2.0,1002,0.5148236946290548,50.543200000000006,0.08467239004072492,0.24549781596505543
3,2.0,1003,0.5185017361582133,46.32704,0.07914785302769267,0.1784004224067585
3,2.0,1004,0.527974707246458,49.665600000000005,0.07757191470430011,0.25364105025680406
3,4.0,1000,0.5092663002508216,44.04496,0.0931660455701418,0.024751116017856286
3,4.0,1001,0.5176685516541099,44.437200000000004,0.08352558705462623,0.07064445831133298
3,4.0,1002,0.5233413373338581,45.59536000000001,0.07747340653705495,0.12442298276772426
3,4.0,1003,0.52946365710342,48.354079999999996,0.07440659456362347,0.10515125042000671
3,4.0,1004,0.5207926404202606,45.017120000000006,0.09220490401099771,0.12705726491623864
6,0.25,1000,0.42494689558870263,23.93904,0.1140409603728525,0.36276407622521956
6,0.25,1001,0.4141389181994694,25.42308,0.12721747617174242,0.26335102961647383
6,0.25,1002,0.41774731631136197,23.14448,0.1251432900639208,0.29016157058512937
6,0.25,1003,0.40799579383010914,25.02194,0.08049717280116053,0.34025133202131236
6,0.25,1004,0.4260841690043376,22.148780000000002,0.05308134245350778,0.3074994479911678
6,0.5,1000,0.45068184034897,38.454080000000005,0.09464422839416416,0.2547508280132482
6,0.5,1001,0.45403424248108665,38.61692,0.08629484660367662,0.29615667450679206
6,0.5,1002,0.43248309014138264,36.71448,0.0817718889509631,0.35889483031728503
6,0.5,1003,0.4360298283275247,40.18804,0.07798696703002898,0.4260943695099121
6,0.5,1004,0.47102792784771647,36.026759999999996,0.09061585043436911,0.36561724187586997
6,1.0,1000,0.4977652451812999,47.26104,0.08567630574647347,0.15593759900158402
6,1.0,1001,0.5134553203738403,47.36280000000001,0.08751796261343195,0.1691097777564441
6,1.0,1002,0.5028406307056773,44.47936000000001,0.0974892163165696,0.15134718955503287
6,1.0,1003,0.49797287845318566,44.21272,0.08479052475048406,-0.029609561752988046
6,1.0,1004,0.5071907936107308,49.285199999999996,0.09309642905398208,0.2103981183698939
6,2.0,1000,0.5178688325350509,49.687120000000014,0.10158313998061416,0.16322833965343445
6,2.0,1001,0.512572147495048,54.195519999999995,0.10060275317009362,0.07145087121393942
6,2.0,1002,0.5230580255969973,54.12519999999999,0.10224894334496996,0.26545922334757355
6,2.0,1003,0.5298053597417082,51.740080000000006,0.08015632467076143,0.1645516248259972
6,2.0,1004,0.5108816495085295,54.013760000000005,0.08715811674693391,0.13429424470791532
6,4.0,1000,0.5085545883549579,53.621520000000004,0.07102480045757026,0.03127154034464551
6,4.0,1001,0.5113026133649149,52.815279999999994,0.08162181965955861,0.028431430902894447
6,4.0,1002,0.5181489276984852,48.76736000000001,0.0835060179961909,0.14132462919406708
6,4.0,1003,0.5352270578027039,50.6508,0.07462113807793758,0.08089127826045216
6,4.0,1004,0.5132113079533427,53.95607999999999,0.0887872980622879,0.09093918302692842
